,Unnamed: 0,Brand,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,0,Oppo,OPPO K10,Black Carbon,128.0,5000.0,50,16,16.74,6.0,4.4,77222.0,13990.0
1,1,Oppo,OPPO K10,Blue Flame,128.0,5000.0,50,16,16.74,6.0,4.4,77222.0,13990.0
2,2,Oppo,OPPO K10,Black Carbon,128.0,5000.0,50,16,16.74,8.0,4.3,4812.0,16990.0
3,3,Oppo,OPPO F19,Space Silver,128.0,4310.0,48,16,16.33,8.0,4.3,18344.0,17990.0
4,4,Oppo,OPPO F19,Midnight Blue,128.0,5000.0,48,16,16.33,6.0,4.3,19142.0,14990.0
5,5,Oppo,OPPO K10,Midnight Black,128.0,5000.0,48,8,16.66,8.0,4.4,45063.0,17499.0
6,6,Oppo,OPPO K10,Ocean Blue,128.0,5000.0,48,8,16.66,8.0,4.4,45063.0,17499.0
7,7,Oppo,OPPO K10,Midnight Black,128.0,5000.0,48,8,16.66,6.0,4.4,10078.0,16499.0
8,8,Oppo,OPPO F19,Prism Black,128.0,5000.0,48,16,16.33,6.0,4.3,19142.0,14990.0
9,9,Oppo,OPPO A16E,Midnight Black,32.0,4230.0,13,5,16.56,3.0,4.3,451.0,8999.0
10,10,Oppo,OPPO Reno8,Shimmer Black,128.0,4500.0,50,32,16.33,8.0,4.3,28512.0,29999.0
11,11,Oppo,OPPO Reno8,Shimmer Gold,128.0,4500.0,50,32,16.33,8.0,4.3,28512.0,29999.0
12,12,Oppo,OPPO A16E,Blue,64.0,4230.0,13,5,16.56,4.0,4.2,1285.0,10989.0
13,13,Oppo,OPPO A15S,Fancy white,128.0,4230.0,13,13,16.56,4.0,4.3,5247.0,11165.0
14,14,Oppo,OPPO A16E,White,64.0,4230.0,13,5,16.56,4.0,4.2,1285.0,9999.0
15,15,Oppo,OPPO A17,Midnight Black,64.0,5000.0,50,5,16.66,4.0,4.4,808.0,12499.0
16,16,Oppo,OPPO A16E,White,32.0,4230.0,13,5,16.56,3.0,4.3,451.0,8999.0
17,17,Oppo,OPPO A54,Starry Blue,64.0,5000.0,13,16,16.54,4.0,4.4,10603.0,12499.0
18,18,Oppo,OPPO A54,Crystal Black,128.0,5000.0,13,16,16.54,4.0,4.4,10603.0,14990.0
19,19,Oppo,OPPO A16,Crystal Black,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
20,20,Oppo,OPPO A16,Pearl Blue,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
21,21,Oppo,OPPO A57,Glowing Green,64.0,5000.0,13,8,16.66,4.0,4.4,1789.0,13999.0
22,22,Oppo,OPPO A74,Fantastic Purple,128.0,5000.0,48,8,16.48,6.0,4.3,1035.0,17399.0
23,23,Oppo,OPPO A77s,Sunset Orange,128.0,5000.0,50,8,16.66,8.0,4.6,16.0,17999.0
24,24,Oppo,OPPO F17,Metallic White,128.0,4015.0,48,2,16.33,8.0,4.3,28266.0,17990.0
25,25,Oppo,OPPO A57,Glowing Black,64.0,5000.0,13,8,16.66,4.0,4.4,1789.0,13999.0
26,26,Oppo,OPPO A12,Deep Blue,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
27,27,Oppo,OPPO F21SPRO,Orange,128.0,4500.0,64,2,16.33,8.0,4.3,6.0,21989.0
28,28,Oppo,OPPO A77,Sky Blue,64.0,5000.0,50,8,16.66,4.0,4.4,126.0,15499.0
29,29,Oppo,OPPO Reno8,Glazed Black,256.0,4500.0,50,32,17.02,12.0,4.4,1822.0,45999.0
30,30,Oppo,OPPO F17,Magic Blue,128.0,4015.0,48,2,16.33,8.0,4.3,28266.0,17990.0
31,31,Oppo,OPPO F21,Cosmic Black,128.0,4500.0,64,64,16.33,8.0,4.3,1564.0,21999.0
32,32,Oppo,OPPO A54,Moonlight Gold,128.0,5000.0,13,16,16.54,6.0,4.3,3939.0,15990.0
33,33,Oppo,OPPO A96,Starry Black,128.0,5000.0,50,16,16.74,8.0,4.3,831.0,17999.0
34,34,Oppo,OPPO Reno7,Startrails Blue,256.0,4500.0,64,32,16.33,8.0,4.2,15896.0,28999.0
35,35,Oppo,OPPO A55,Starry Black,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
36,36,Oppo,OPPO Reno7,Starry Black,256.0,4500.0,64,32,16.33,8.0,4.2,15896.0,28999.0
37,37,Oppo,OPPO A74,Fluid Black,128.0,5000.0,48,8,16.48,6.0,4.3,1716.0,18490.0
38,38,Oppo,OPPO Reno7,Starlight Black,256.0,4500.0,50,32,16.51,12.0,4.3,7070.0,34999.0
39,39,Oppo,OPPO A12,Black,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
40,40,Oppo,OPPO A12,Blue,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
41,41,Oppo,OPPO A12,Flowing Silver,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
42,42,Oppo,OPPO F19,Fluid Black,128.0,4310.0,48,16,16.33,8.0,4.3,18344.0,17990.0
43,43,Oppo,OPPO A55,Mint Green,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
44,44,Oppo,OPPO A33,Moonlight Black,32.0,5000.0,13,8,16.51,3.0,4.4,50957.0,10490.0
45,45,Oppo,OPPO A54,Crystal Black,64.0,5000.0,13,16,16.54,4.0,4.4,10603.0,13990.0
46,46,Oppo,OPPO A77s,Starry Black,128.0,5000.0,50,8,16.66,8.0,4.6,16.0,17999.0
47,47,Oppo,OPPO A55,Rainbow Blue,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
48,48,Oppo,OPPO A16,Royal Gold,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
49,49,Oppo,OPPO A53s,Crystal Blue,128.0,5000.0,13,8,16.56,6.0,4.4,68250.0,15990.0
50,50,Oppo,OPPO A16k,Blue,32.0,4230.0,13,5,16.56,3.0,4.3,606.0,9989.0
51,51,Oppo,OPPO F21,Rainbow Spectrum,128.0,4500.0,16,16,16.33,8.0,4.2,848.0,25999.0
52,52,Oppo,OPPO A53,Moonlight Black,128.0,5000.0,13,16,16.51,6.0,4.4,55480.0,13990.0
53,53,Oppo,OPPO Reno6,Aurora,128.0,4300.0,64,32,16.33,8.0,4.3,53232.0,29990.0
54,54,Oppo,OPPO A15S,Fancy White,64.0,4230.0,13,13,16.56,4.0,4.3,5247.0,11399.0
