,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,MOTOROLA e32s,Slate Gray,64.0,5000.0,16,8,16.5,4.0,4.0,Android 12,3.3,52.0,10200.0
1,MOTOROLA e32s,Misty Silver,64.0,5000.0,16,8,16.5,4.0,4.0,Android 12,3.3,52.0,10250.0
2,MOTOROLA e32s,Misty Silver,32.0,5000.0,16,8,16.5,4.0,3.0,Android 12,3.2,40.0,7609.0
3,MOTOROLA G60,Soft Silver,128.0,6000.0,108,32,17.2,4.0,6.0,Android 11,3.9,32.0,16340.0
4,MOTOROLA G60,Moonless,128.0,6000.0,108,32,17.2,4.0,6.0,Android 11,4.2,248.0,17199.0
5,MOTOROLA Moto g22,Iceberg Blue,64.0,5000.0,50,16,16.5,2.0,4.0,Android 12,3.7,47.0,11100.0
6,MOTOROLA g31,Meteorite Grey,64.0,5000.0,50,13,16.4,4.0,4.0,Android 11,4.3,42.0,11625.0
7,MOTOROLA g31,Meteorite Grey,128.0,5000.0,50,13,16.4,4.0,6.0,Android 11,3.8,20.0,13449.0
8,Moto E40,Carbon Gray,4.0,5000.0,48,8,16.5,2.0,64.0,Android 10,4.0,114.0,10390.0
9,Motorola g42,Atlantic Green,4.0,5000.0,50,16,16.4,2.0,64.0,Android 12,1.0,10.0,13999.0
10,MOTOROLA Moto g22,Cosmic Black,4.0,5000.0,50,16,16.5,2.0,64.0,Android 12,3.6,84.0,10930.0
11,Motorola E7 Power,Coral Red,64.0,5000.0,13,5,16.5,4.0,4.0,Android 8,4.0,560.0,9799.0
12,Motorola E7 Power,Coral Red,32.0,5000.0,13,5,16.5,4.0,2.0,Android 8,4.0,560.0,7999.0
13,MOTOROLA Edge 20,Frosted Emerald,128.0,4000.0,108,32,17.0,5.0,8.0,Android 11,3.7,57.0,18490.0
14,MOTOROLA G40 Fusion,Dynamic Gray,128.0,6000.0,64,16,17.2,4.0,6.0,Android 11,3.8,113.0,13449.0
15,MOTOROLA G40 Fusion,Dynamic Gray,64.0,6000.0,64,16,17.2,4.0,4.0,Android 11,4.1,180.0,16500.0
16,MOTOROLA G40 Fusion,Dynamic Gray,64.0,6000.0,64,16,17.2,4.0,4.0,Android 11,4.1,180.0,16500.0
17,MOTOROLA g31,Baby Blue,64.0,5000.0,50,13,16.4,2.0,4.0,Android 11,3.9,58.0,11510.0
18,Motorola g42,Metallic Rose,64.0,5000.0,50,16,16.4,4.0,4.0,Android 12,4.1,169.0,14790.0
