,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,MOTOROLA e40,Carbon Gray,64.0,5000.0,48,8,16.51,4.0,4.1,44238.0,9999.0
1,MOTOROLA e40,Pink Clay,64.0,5000.0,48,8,16.51,4.0,4.1,44238.0,9999.0
2,MOTOROLA g82,Meterorite Grey,128.0,5000.0,50,16,16.76,6.0,4.1,4028.0,21499.0
3,MOTOROLA G62,Frosted Blue,128.0,5000.0,50,16,16.64,8.0,4.1,1218.0,19999.0
4,Moto G71,Arctic Blue,128.0,5000.0,50,16,16.26,6.0,4.2,20077.0,16999.0
5,MOTOROLA G62,Midnight Gray,128.0,5000.0,50,16,16.64,8.0,4.1,1218.0,19999.0
6,MOTOROLA G51,Indigo Blue,64.0,5000.0,50,13,17.27,4.0,4.1,15080.0,14999.0
7,MOTOROLA g52,Metallic White,64.0,5000.0,50,16,16.76,4.0,4.2,7260.0,14499.0
8,MOTOROLA g52,Charcoal Grey,64.0,5000.0,50,16,16.76,4.0,4.2,7260.0,14499.0
9,MOTOROLA G62,Frosted Blue,128.0,5000.0,50,16,16.64,6.0,4.1,4637.0,17999.0
10,MOTOROLA g52,Metallic White,128.0,5000.0,50,16,16.76,6.0,4.2,15194.0,16499.0
11,MOTOROLA G60,Soft Silver,128.0,6000.0,108,32,17.22,6.0,4.2,127.0,15999.0
12,MOTOROLA e32s,Misty Silver,32.0,5000.0,16,8,16.51,3.0,3.7,112.0,7995.0
13,MOTOROLA G32,Mineral Gray,64.0,5000.0,50,16,16.64,4.0,4.2,8289.0,12999.0
14,MOTOROLA g31,Baby Blue,64.0,5000.0,50,13,16.26,4.0,4.2,29792.0,10499.0
15,MOTOROLA g31,Meteorite Grey,64.0,5000.0,50,13,16.26,4.0,4.2,29792.0,10499.0
16,MOTOROLA g52,Charcoal Grey,128.0,5000.0,50,16,16.76,6.0,4.2,15194.0,16499.0
17,MOTOROLA G62,Midnight Gray,128.0,5000.0,50,16,16.64,6.0,4.1,4637.0,17999.0
18,MOTOROLA Edge,Starlight White,256.0,4610.0,200,60,16.94,12.0,4.1,87.0,59999.0
19,MOTOROLA G40,Dynamic Gray,128.0,6000.0,64,16,17.22,6.0,4.2,54656.0,13499.0
20,MOTOROLA G40,Frosted Champagne,64.0,6000.0,64,16,17.22,4.0,4.2,32732.0,14499.0
21,MOTOROLA G60,Dynamic Gray,128.0,6000.0,108,32,17.27,6.0,4.2,127.0,15999.0
22,MOTOROLA G60,Dynamic Gray,128.0,6000.0,108,32,17.27,6.0,4.2,127.0,15999.0
23,MOTOROLA g82,White Lily,128.0,5000.0,50,16,16.76,8.0,4.1,2414.0,22999.0
24,MOTOROLA edge,Meteor Grey,128.0,4020.0,50,32,16.64,6.0,4.2,5218.0,27999.0
25,MOTOROLA edge,Aurora Green,128.0,4020.0,50,32,16.64,6.0,4.2,5218.0,27999.0
26,MOTOROLA Edge,Solar Gold,128.0,4400.0,50,32,16.64,8.0,4.3,1332.0,39999.0
27,MOTOROLA e32s,Slate Gray,32.0,5000.0,16,2,16.51,3.0,3.7,112.0,7949.0
28,Moto G71,Neptune Green,128.0,5000.0,50,16,16.26,6.0,4.2,20077.0,16999.0
29,MOTOROLA Edge,Cosmic grey,128.0,4400.0,50,32,16.64,8.0,4.3,1332.0,39999.0
30,MOTOROLA g42,Metallic Rose,64.0,5000.0,50,16,16.43,4.0,4.1,1992.0,11999.0
31,MOTOROLA g82,White Lily,128.0,5000.0,50,16,16.76,8.0,4.1,2414.0,22999.0
32,Moto G5,Lunar Grey,128.0,3000.0,12,5,13.21,4.0,4.3,218.0,16999.0
33,MOTOROLA G40,Dynamic Gray,64.0,6000.0,64,16,17.22,4.0,4.2,32732.0,14499.0
34,Moto E6s,Rich Cranberry,512.0,3000.0,13,8,15.49,4.0,4.1,79003.0,7499.0
35,MOTOROLA Edge,Iridescent Cloud,128.0,4500.0,108,32,17.02,8.0,4.0,3053.0,29999.0
36,MOTOROLA G8,Royal Blue,256.0,5000.0,16,8,16.51,4.0,4.3,63777.0,9999.0
37,Motorola One,Space Blue,512.0,4000.0,13,8,15.75,4.0,4.3,22691.0,11999.0
38,MOTOROLA e32,Eco Black,64.0,5000.0,50,8,16.51,4.0,4.1,52.0,9999.0
39,MOTOROLA Edge,Frosted Pearl,128.0,4000.0,108,32,17.02,8.0,4.1,8825.0,27999.0
40,MOTOROLA G8,Arctic Blue,256.0,5000.0,16,8,16.51,4.0,4.3,63777.0,9999.0
41,MOTOROLA Edge,Frosted Onyx,128.0,4000.0,108,32,17.02,8.0,4.1,8825.0,27999.0
42,MOTOROLA g82,Meterorite Grey,128.0,5000.0,50,16,16.76,8.0,4.1,2414.0,22999.0
43,MOTOROLA Edge,Stardust White,128.0,4800.0,50,60,17.02,8.0,4.0,842.0,39999.0
44,MOTOROLA Edge,Electric Graphite,128.0,5000.0,108,32,16.94,8.0,4.1,11500.0,20999.0
45,MOTOROLA e32s,Slate Gray,64.0,5000.0,16,8,16.51,4.0,3.9,1213.0,9999.0
46,MOTOROLA Edge,Cosmos Blue,128.0,4800.0,50,60,17.02,8.0,4.0,842.0,39999.0
47,MOTOROLA Edge,Cyber Teal,128.0,5000.0,108,32,17.0,8.0,4.1,11500.0,20999.0
48,MOTOROLA e32s,Misty Silver,64.0,5000.0,16,8,16.51,4.0,3.9,1213.0,9999.0
49,MOTOROLA Edge,Starlight White,128.0,4610.0,200,60,16.94,8.0,4.4,836.0,54999.0
50,MOTOROLA Edge,Interstellar Black,128.0,4610.0,200,60,16.94,8.0,4.4,836.0,54999.0
51,MOTOROLA e32,Arctic Blue,64.0,5000.0,50,8,16.51,4.0,4.1,52.0,9999.0
52,MOTOROLA One,Moonlight White,128.0,5000.0,64,16,16.51,6.0,4.4,101.0,16999.0
53,MOTOROLA E7,Coral Red,32.0,5000.0,13,5,16.54,2.0,4.1,10337.0,6999.0
54,MOTOROLA One,Twilight Blue,128.0,5000.0,64,16,16.51,6.0,4.4,101.0,16999.0
55,Moto G,Volcanic Grey,128.0,5000.0,48,16,16.94,6.0,4.2,14790.0,24999.0
56,Moto G,Frosted Silver,128.0,5000.0,48,16,16.94,6.0,4.2,14790.0,24999.0
57,MOTOROLA G10,Aurora Grey,64.0,6000.0,48,8,16.54,4.0,4.1,61000.0,10499.0
58,MOTOROLA E7,Misty Blue,512.0,5000.0,48,8,16.51,4.0,4.2,48518.0,9499.0
59,MOTOROLA e22s,Eco Black,64.0,5000.0,16,8,16.51,4.0,4.0,13.0,8999.0
60,MOTOROLA G51,Bright Silver,64.0,5000.0,50,13,17.27,4.0,4.1,15080.0,14999.0
61,MOTOROLA E7,Tahiti Blue,64.0,5000.0,13,5,16.54,4.0,4.1,83358.0,8999.0
62,MOTOROLA Edge,Cyber Teal,128.0,5000.0,108,32,16.94,6.0,4.0,18884.0,18999.0
63,MOTOROLA G60,Frosted Champagne,128.0,6000.0,108,32,17.22,6.0,4.2,127.0,15999.0
64,MOTOROLA G9,Sapphire Blue,512.0,5000.0,48,8,16.51,4.0,4.2,46823.0,11499.0
65,MOTOROLA Edge,Electric Graphite,128.0,5000.0,108,32,16.94,8.0,4.1,11500.0,20999.0
66,MOTOROLA Edge,Cyber Teal,128.0,5000.0,108,32,17.0,8.0,4.1,11500.0,20999.0
67,MOTOROLA G30,Dark Pearl,64.0,5000.0,64,13,16.54,4.0,4.1,36135.0,10999.0
68,Moto G,Black,32.0,2470.0,13,5,12.7,2.0,4.2,997.0,16999.0
69,MOTOROLA Razr,Black,128.0,2510.0,16,5,15.75,6.0,3.7,194.0,149999.0
70,MOTOROLA G9,Electric Violet,512.0,6000.0,64,16,17.22,4.0,4.1,32029.0,11999.0
71,MOTOROLA g22,Cosmic Black,64.0,5000.0,50,16,16.51,4.0,3.7,23584.0,9999.0
72,Moto E4,Oxford Blue,128.0,5000.0,13,5,13.97,3.0,4.1,483.0,9999.0
73,Moto E4,Fine Gold,128.0,5000.0,13,5,13.97,3.0,4.1,483.0,9999.0
74,Moto X,Black Leather,16.0,2300.0,13,2,13.21,2.0,4.2,6219.0,23999.0
75,Moto E6s,Polished Graphite,512.0,3000.0,13,8,15.49,4.0,4.1,79003.0,7499.0
76,MOTOROLA Edge,Frosted Emerald,128.0,4000.0,108,32,17.02,8.0,4.1,8825.0,27999.0
77,MOTOROLA Edge,Midnight Sky,128.0,4500.0,108,32,17.02,8.0,4.0,3053.0,29999.0
78,MOTOROLA G10,Breeze Blue,64.0,6000.0,48,8,16.54,4.0,4.1,61000.0,10499.0
79,MOTOROLA Edge,Interstellar Black,256.0,4610.0,200,60,16.94,12.0,4.1,87.0,59999.0
80,Moto X4,Sterling Blue,64.0,3000.0,12,16,13.21,4.0,4.3,21119.0,23999.0
81,Motorola One,Ultra Violet,512.0,4000.0,13,8,15.75,4.0,4.3,22691.0,11999.0
