,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,OnePlus Nord CE,Bahamas Blue,128.0,4500.0,64,16,16.3322,5.0,8.0,OxygenOS,4.3,95660.0,24999.0
1,OnePlus Nord 2T,Gray Shadow,128.0,4500.0,50,32,16.3322,5.0,8.0,OxygenOS,4.3,12958.0,28999.0
2,OnePlus Nord CE,Gray Mirror,128.0,4500.0,64,16,16.3322,5.0,8.0,OxygenOS,4.3,95660.0,24999.0
3,OnePlus Nord CE,Blue Tide,128.0,5000.0,64,16,16.738599999999998,5.0,6.0,OxygenOS,4.3,95660.0,18999.0
4,OnePlus Nord 2T,Jade Fog,256.0,4500.0,50,32,16.3322,5.0,12.0,OxygenOS,4.3,12958.0,33999.0
5,OnePlus Nord 2T,Jade Fog,128.0,4500.0,50,32,16.3322,5.0,8.0,OxygenOS,4.3,12958.0,28999.0
6,OnePlus 10R ,Forest Green,128.0,5000.0,50,16,17.018,5.0,8.0,OxygenOS,4.2,9128.0,34999.0
7,OnePlus 10R ,Forest Green,256.0,5000.0,50,16,17.018,5.0,12.0,OxygenOS,4.2,9128.0,38999.0
8,OnePlus 10T ,Moonstone Black,256.0,4800.0,50,16,17.018,5.0,12.0,OxygenOS,4.2,2214.0,49999.0
9,OnePlus 10 Pro,Emerald Forest,128.0,5000.0,48,32,17.018,5.0,8.0,OxygenOS,4.2,4624.0,61999.0
10,OnePlus 10R ,Sierra Black,128.0,5000.0,50,16,17.018,5.0,8.0,OxygenOS,4.2,9128.0,34999.0
11,OnePlus 10T ,Moonstone Black,128.0,4800.0,50,16,17.018,5.0,8.0,OxygenOS,4.2,2214.0,44999.0
12,OnePlus 10T ,Moonstone Black,256.0,4800.0,50,16,17.018,5.0,16.0,OxygenOS,4.2,2214.0,50999.0
13,OnePlus 10T ,Jade Green,128.0,4800.0,50,16,17.018,5.0,8.0,OxygenOS,4.2,2214.0,44999.0
14,OnePlus 10 Pro,Volcanic Black,256.0,5000.0,48,32,17.018,5.0,12.0,OxygenOS,4.2,4624.0,66999.0
15,OnePlus Nord ,Gray Onyx,128.0,4500.0,48,8,16.3576,4.0,8.0,Android 10,3.5,1797.0,22099.0
16,OnePlus 6,Mirror Black,64.0,3300.0,16,16,16.3576,4.0,6.0,Android 8,3.2,386.0,15999.0
17,OnePlus 7 Pro,Mirror Grey,128.0,4000.0,48,16,16.3576,4.0,6.0,Android,3.4,83.0,33999.0
18,OnePlus 9 Pro,Morning Mist,128.0,4500.0,48,16,17.018,5.0,8.0,Android 11,3.0,7.0,47999.0
19,OnePlus 10 Pro,Volcanic Black,128.0,5000.0,48,32,17.018,5.0,8.0,OxygenOS,4.2,4624.0,61999.0
20,OnePlus Nord CE,Gray Mirror,128.0,4500.0,64,16,16.3322,5.0,8.0,OxygenOS,4.3,95660.0,24999.0
21,OnePlus 7,Mirror Grey,128.0,3700.0,48,16,16.3576,4.0,6.0,Android Oxygen,3.4,159.0,18799.0
22,OnePlus 6,Midnight Black,64.0,3300.0,16,16,16.3576,4.0,6.0,Android 10,3.0,2.0,12759.0
23,OnePlus 7T,Glacier Blue,128.0,4500.0,16,16,16.637,4.0,8.0,Android 10,3.4,448.0,23699.0
24,OnePlus 5,Gray,64.0,4500.0,20,16,16.3576,4.0,6.0,Android,2.8,162.0,10499.0
25,OnePlus 7T Glacier,8GB RAM,256.0,3800.0,16,16,16.637,4.0,8.0,Android 10,3.4,448.0,25599.0
26,OnePlus Nord 2,Gray Sierra,128.0,4500.0,50,32,16.3576,5.0,8.0,Android 11,3.6,465.0,26999.0
27,OnePlus 8T ,Aquamarine Green,256.0,4500.0,48,16,16.637,5.0,12.0,Android,4.4,27107.0,32999.0
28,OnePlus Nord 2,Blue Haze,128.0,4500.0,50,32,16.3576,5.0,8.0,Android 11,3.6,465.0,26999.0
29,OnePlus Nord 2,Blue Haze,128.0,4500.0,50,32,16.3576,5.0,8.0,Android 11,3.6,465.0,26999.0
30,OnePlus 9R ,Lake Blue,128.0,4500.0,48,16,16.637,5.0,8.0,Android 11,3.3,378.0,32499.0
31,OnePlus 6,Mirror Black,128.0,4500.0,16,16,16.3576,4.0,8.0,Android,2.9,190.0,15999.0
32,OnePlus 10 Pro,Emerald Forest,256.0,5000.0,48,32,17.018,5.0,12.0,Android 12,4.4,3.0,60999.0
33,OnePlus Nord ,Blue Marble,128.0,4500.0,48,8,16.3576,4.0,8.0,Android 10,3.5,1797.0,22099.0
34,OnePlus 9 ,Astral Black,256.0,4500.0,48,16,16.637,5.0,12.0,Android 11,3.8,19.0,36899.0
35,OnePlus Nord 2,Blue Haze,256.0,4500.0,50,32,16.3576,5.0,12.0,Android 11,3.5,76.0,30699.0
36,OnePlus Nord CE,Blue Void,128.0,4500.0,64,16,16.3576,4.0,8.0,Android,3.4,739.0,18999.0
37,OnePlus 9RT ,Nano Silver,128.0,500.0,50,16,16.8148,5.0,8.0,Android 11,2.7,20.0,37999.0
38,OnePlus 9 Pro,Pine Green,128.0,4500.0,48,16,17.018,5.0,8.0,Android 11,2.2,8.0,47999.0
39,OnePlus 8T ,Lunar Silver,128.0,4500.0,48,16,16.637,5.0,8.0,Android 11,3.3,92.0,30999.0
40,OnePlus 3T Gunmetal,6GB,64.0,400.0,16,16,16.3576,4.0,6.0,Android,2.2,23.0,10394.0
41,OnePlus 8T ,Aquamarine Green,256.0,4500.0,48,16,16.637,5.0,12.0,Android,3.2,107.0,32999.0
