,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,OnePlus Nord CE,Blue Tide,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19825.0
1,OnePlus Nord CE,Blue Tide,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19849.0
2,OnePlus Nord CE,Black Dusk,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19999.0
3,OnePlus Nord CE,Blue Tide,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19804.0
4,OnePlus Nord 2T,Jade Fog,256.0,4500.0,50,16,17.02,12.0,4.4,1453.0,33971.0
5,OnePlus Nord 2T,Gray Shadow,256.0,4500.0,50,16,16.94,12.0,4.4,1453.0,33998.0
6,OnePlus Nord 2T,Gray Shadow,128.0,4500.0,50,16,17.02,8.0,4.4,3822.0,28880.0
7,OnePlus Nord CE,Gray Mirror,128.0,4500.0,50,16,16.33,6.0,4.3,351.0,23999.0
8,OnePlus 10T 5G,Jade Green,256.0,4800.0,50,16,17.02,12.0,4.2,37.0,52675.0
9,OnePlus 10T 5G,Moonstone Black,256.0,4800.0,50,16,17.02,12.0,4.2,37.0,52719.0
10,OnePlus 10R 5G,Sierra Black,128.0,5000.0,50,16,17.02,8.0,4.3,1115.0,35990.0
11,OnePlus 10R 5G,Forest Green,256.0,5000.0,50,16,17.02,12.0,4.2,574.0,42999.0
12,OnePlus 10T 5G,Moonstone Black,256.0,4800.0,50,16,17.02,16.0,4.3,6.0,53749.0
13,OnePlus Nord CE,Black Dusk,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19999.0
14,OnePlus Nord 2,PAC,256.0,4500.0,50,16,16.33,12.0,4.4,157.0,37997.0
15,OnePlus Nord 2T,Gray Shadow,256.0,4500.0,50,16,17.02,12.0,4.4,1453.0,33999.0
16,OnePlus 9 5G,Astral Black,128.0,4500.0,48,16,16.64,8.0,3.9,276.0,39949.0
17,OnePlus 9RT 5G,Nano Silver,128.0,4500.0,50,16,16.81,8.0,4.3,469.0,39599.0
18,OnePlus 10R 5G,Sierra Black,256.0,4500.0,50,16,17.02,12.0,4.2,574.0,38999.0
19,OnePlus Nord CE,Blue Tide,128.0,5000.0,64,16,16.74,6.0,4.4,31678.0,19980.0
20,OnePlus Nord 2T,Jade Fog,128.0,4500.0,50,16,17.02,8.0,4.4,3822.0,28999.0
21,OnePlus Nord 2T,Jade Fog,256.0,4500.0,50,16,17.02,12.0,4.4,1453.0,33799.0
22,OnePlus 10T 5G,Moonstone Black,128.0,4800.0,50,16,17.02,8.0,4.3,80.0,49400.0
23,OnePlus Nord N20,Celestial Black,64.0,5000.0,50,16,16.66,4.0,5.0,4.0,15345.0
24,OnePlus 10T 5G,Jade Green,128.0,4800.0,50,16,17.02,8.0,4.3,80.0,47249.0
25,OnePlus 10R 5G,Forest Green,128.0,5000.0,50,16,17.02,8.0,4.3,1115.0,35500.0
26,OnePlus 10R 5G,Sierra Black,256.0,5000.0,50,16,17.02,12.0,4.2,574.0,40000.0
27,OnePlus Nord 2,Gray Sierra,128.0,4500.0,50,16,16.33,8.0,4.4,1767.0,29990.0
28,OnePlus 10 Pro,Volcanic Black,128.0,5000.0,48,16,17.02,8.0,4.2,80.0,62999.0
29,OnePlus 9 Pro,Pine Green,256.0,4500.0,48,16,17.02,12.0,3.9,185.0,69980.0
30,OnePlus 10 Pro,Emerald Forest,128.0,5000.0,48,16,17.02,8.0,4.2,80.0,61999.0
31,OnePlus Nord CE,Bahama Blue,128.0,4500.0,64,16,16.33,8.0,4.4,2031.0,24999.0
32,OnePlus Nord CE,Gray Mirror,128.0,4500.0,64,16,16.33,8.0,4.4,2031.0,24995.0
