,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,OPPO K10,Black Carbon,128.0,5000.0,50,16,16.74,6.0,4.4,77222.0,13990.0
1,OPPO K10,Blue Flame,128.0,5000.0,50,16,16.74,6.0,4.4,77222.0,13990.0
2,OPPO K10,Black Carbon,128.0,5000.0,50,16,16.74,8.0,4.3,4812.0,16990.0
3,OPPO F19,Space Silver,128.0,4310.0,48,16,16.33,8.0,4.3,18344.0,17990.0
4,OPPO F19,Midnight Blue,128.0,5000.0,48,16,16.33,6.0,4.3,19142.0,14990.0
5,OPPO K10,Midnight Black,128.0,5000.0,48,8,16.66,8.0,4.4,45063.0,17499.0
6,OPPO K10,Ocean Blue,128.0,5000.0,48,8,16.66,8.0,4.4,45063.0,17499.0
7,OPPO K10,Midnight Black,128.0,5000.0,48,8,16.66,6.0,4.4,10078.0,16499.0
8,OPPO F19,Prism Black,128.0,5000.0,48,16,16.33,6.0,4.3,19142.0,14990.0
9,OPPO A16E,Midnight Black,32.0,4230.0,13,5,16.56,3.0,4.3,451.0,8999.0
10,OPPO Reno8,Shimmer Black,128.0,4500.0,50,32,16.33,8.0,4.3,28512.0,29999.0
11,OPPO Reno8,Shimmer Gold,128.0,4500.0,50,32,16.33,8.0,4.3,28512.0,29999.0
12,OPPO A16E,Blue,64.0,4230.0,13,5,16.56,4.0,4.2,1285.0,10989.0
13,OPPO A15S,Fancy white,128.0,4230.0,13,13,16.56,4.0,4.3,5247.0,11165.0
14,OPPO A16E,White,64.0,4230.0,13,5,16.56,4.0,4.2,1285.0,9999.0
15,OPPO A17,Midnight Black,64.0,5000.0,50,5,16.66,4.0,4.4,808.0,12499.0
16,OPPO A16E,White,32.0,4230.0,13,5,16.56,3.0,4.3,451.0,8999.0
17,OPPO A54,Starry Blue,64.0,5000.0,13,16,16.54,4.0,4.4,10603.0,12499.0
18,OPPO A54,Crystal Black,128.0,5000.0,13,16,16.54,4.0,4.4,10603.0,14990.0
19,OPPO A16,Crystal Black,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
20,OPPO A16,Pearl Blue,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
21,OPPO A57,Glowing Green,64.0,5000.0,13,8,16.66,4.0,4.4,1789.0,13999.0
22,OPPO A74,Fantastic Purple,128.0,5000.0,48,8,16.48,6.0,4.3,1035.0,17399.0
23,OPPO A77s,Sunset Orange,128.0,5000.0,50,8,16.66,8.0,4.6,16.0,17999.0
24,OPPO F17,Metallic White,128.0,4015.0,48,2,16.33,8.0,4.3,28266.0,17990.0
25,OPPO A57,Glowing Black,64.0,5000.0,13,8,16.66,4.0,4.4,1789.0,13999.0
26,OPPO A12,Deep Blue,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
27,OPPO F21SPRO,Orange,128.0,4500.0,64,2,16.33,8.0,4.3,6.0,21989.0
28,OPPO A77,Sky Blue,64.0,5000.0,50,8,16.66,4.0,4.4,126.0,15499.0
29,OPPO Reno8,Glazed Black,256.0,4500.0,50,32,17.02,12.0,4.4,1822.0,45999.0
30,OPPO F17,Magic Blue,128.0,4015.0,48,2,16.33,8.0,4.3,28266.0,17990.0
31,OPPO F21,Cosmic Black,128.0,4500.0,64,64,16.33,8.0,4.3,1564.0,21999.0
32,OPPO A54,Moonlight Gold,128.0,5000.0,13,16,16.54,6.0,4.3,3939.0,15990.0
33,OPPO A96,Starry Black,128.0,5000.0,50,16,16.74,8.0,4.3,831.0,17999.0
34,OPPO Reno7,Startrails Blue,256.0,4500.0,64,32,16.33,8.0,4.2,15896.0,28999.0
35,OPPO A55,Starry Black,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
36,OPPO Reno7,Starry Black,256.0,4500.0,64,32,16.33,8.0,4.2,15896.0,28999.0
37,OPPO A74,Fluid Black,128.0,5000.0,48,8,16.48,6.0,4.3,1716.0,18490.0
38,OPPO Reno7,Starlight Black,256.0,4500.0,50,32,16.51,12.0,4.3,7070.0,34999.0
39,OPPO A12,Black,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
40,OPPO A12,Blue,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
41,OPPO A12,Flowing Silver,32.0,4230.0,13,5,15.8,3.0,4.4,74712.0,9990.0
42,OPPO F19,Fluid Black,128.0,4310.0,48,16,16.33,8.0,4.3,18344.0,17990.0
43,OPPO A55,Mint Green,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
44,OPPO A33,Moonlight Black,32.0,5000.0,13,8,16.51,3.0,4.4,50957.0,10490.0
45,OPPO A54,Crystal Black,64.0,5000.0,13,16,16.54,4.0,4.4,10603.0,13990.0
46,OPPO A77s,Starry Black,128.0,5000.0,50,8,16.66,8.0,4.6,16.0,17999.0
47,OPPO A55,Rainbow Blue,64.0,5000.0,50,16,16.54,4.0,4.2,648.0,14490.0
48,OPPO A16,Royal Gold,64.0,5000.0,13,8,16.56,4.0,4.3,3512.0,12990.0
49,OPPO A53s,Crystal Blue,128.0,5000.0,13,8,16.56,6.0,4.4,68250.0,15990.0
50,OPPO A16k,Blue,32.0,4230.0,13,5,16.56,3.0,4.3,606.0,9989.0
51,OPPO F21,Rainbow Spectrum,128.0,4500.0,16,16,16.33,8.0,4.2,848.0,25999.0
52,OPPO A53,Moonlight Black,128.0,5000.0,13,16,16.51,6.0,4.4,55480.0,13990.0
53,OPPO Reno6,Aurora,128.0,4300.0,64,32,16.33,8.0,4.3,53232.0,29990.0
54,OPPO A15S,Fancy White,64.0,4230.0,13,13,16.56,4.0,4.3,5247.0,11399.0
55,OPPO F19,Crystal Silver,256.0,4310.0,48,16,16.33,8.0,4.3,9194.0,22990.0
56,OPPO F9,Stellar Purple,64.0,3500.0,16,16,16.0,4.0,4.5,40554.0,21990.0
57,OPPO A5s,Blue,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
58,OPPO F21S,Dawnlight Gold,128.0,4500.0,64,2,16.33,8.0,4.1,97.0,21989.0
59,OPPO A5s,Blue,32.0,4230.0,13,8,15.75,2.0,4.3,33996.0,12990.0
60,OPPO A5s,Green,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
61,OPPO A5s,Black,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
62,OPPO A5,Mirror Black,64.0,5000.0,12,8,16.51,3.0,4.4,3046.0,14990.0
