,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,POCO M4,Cool Blue,128.0,5000.0,50,16,16.76,6.0,4.2,33358.0,16999.0
1,POCO X4,Laser Blue,128.0,5000.0,64,16,16.94,6.0,4.1,52113.0,19999.0
2,POCO M4,Cool Blue,128.0,5000.0,64,16,16.33,8.0,4.3,10988.0,17999.0
3,POCO X4,Laser Black,128.0,5000.0,64,16,16.94,6.0,4.1,52113.0,19999.0
4,POCO M4,Yellow,64.0,5000.0,50,16,16.76,4.0,4.3,27336.0,14999.0
5,POCO M5,Power Black,512.0,5000.0,50,8,16.71,4.0,4.3,1719.0,12499.0
6,POCO M5,Icy Blue,512.0,5000.0,50,8,16.71,4.0,4.3,1719.0,12499.0
7,POCO X4,Laser Blue,128.0,5000.0,64,16,16.94,8.0,4.1,12278.0,21999.0
8,POCO M4,Yellow,128.0,5000.0,50,16,16.76,6.0,4.2,33358.0,16999.0
9,POCO M4,Cool Blue,512.0,5000.0,50,8,16.71,6.0,4.1,19287.0,14999.0
10,POCO M4,Power Black,128.0,5000.0,50,16,16.76,6.0,4.2,33358.0,16999.0
11,POCO M4,Yellow,64.0,5000.0,64,16,16.33,6.0,4.3,113.0,14999.0
12,POCO C31,Royal Blue,512.0,5000.0,13,5,16.59,3.0,4.3,111.0,8499.0
13,POCO X4,Laser Black,128.0,5000.0,64,16,16.94,8.0,4.1,12278.0,21999.0
14,POCO X4,Yellow,128.0,5000.0,64,16,16.94,6.0,4.1,52113.0,19999.0
15,POCO M4,Power Black,128.0,5000.0,64,16,16.33,6.0,4.3,113.0,16499.0
16,POCO M4,Cool Blue,64.0,5000.0,64,16,16.33,6.0,4.3,113.0,14999.0
17,POCO M2,Green and,512.0,5000.0,48,16,16.94,4.0,4.3,247.0,13999.0
18,POCO X4,Laser Blue,64.0,5000.0,64,16,16.94,6.0,4.1,52113.0,18999.0
19,POCO F4,Night Black,128.0,4500.0,64,20,16.94,6.0,4.3,10725.0,27999.0
20,POCO M4,Yellow,128.0,5000.0,50,16,16.76,8.0,4.2,5539.0,18999.0
21,POCO X4,Laser Black,64.0,5000.0,64,16,16.94,6.0,4.1,52113.0,18999.0
22,POCO M5,Yellow,512.0,5000.0,50,8,16.71,6.0,4.3,859.0,14499.0
23,POCO X4,Yellow,64.0,5000.0,64,16,16.94,6.0,4.1,52113.0,18999.0
24,POCO M5,Power Black,512.0,5000.0,50,8,16.71,6.0,4.3,859.0,14499.0
25,POCO M3,Yellow,512.0,6000.0,48,8,16.59,4.0,4.3,123.0,11490.0
26,POCO X4,Yellow,128.0,5000.0,64,16,16.94,8.0,4.1,12278.0,21999.0
27,POCO M4,Yellow,128.0,5000.0,64,16,16.33,8.0,4.3,10988.0,17999.0
28,POCO F4,Night Black,256.0,4500.0,64,20,16.94,12.0,4.4,2180.0,33999.0
29,POCO C3,Lime Green,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8499.0
30,POCO M4,Yellow,512.0,5000.0,50,8,16.71,4.0,4.2,39407.0,12999.0
31,POCO M5,Yellow,512.0,5000.0,50,8,16.71,4.0,4.3,1719.0,12499.0
32,POCO M4,Power Black,128.0,5000.0,50,16,16.76,8.0,4.2,5539.0,18999.0
33,POCO M5,Icy Blue,512.0,5000.0,50,8,16.71,6.0,4.3,859.0,14499.0
34,POCO M4,Power Black,512.0,5000.0,50,8,16.71,4.0,4.2,39407.0,12999.0
35,POCO M4,Cool Blue,128.0,5000.0,50,16,16.76,8.0,4.2,5539.0,18999.0
36,POCO C31,Shadow Gray,512.0,5000.0,13,5,16.59,3.0,4.3,111.0,8499.0
37,POCO M4,Cool Blue,512.0,5000.0,50,8,16.71,4.0,4.2,39407.0,12999.0
38,POCO X3,Cobalt Blue,512.0,6000.0,64,20,16.94,8.0,4.3,38865.0,18999.0
39,POCO F1,Rosso Red,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,18999.0
40,POCO F1,Rosso Red,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,18999.0
41,POCO C3,Matte Black,512.0,5000.0,13,5,16.59,4.0,4.3,304.0,9499.0
42,POCO F1,Graphite Black,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,21999.0
43,POCO F1,Steel Blue,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,21999.0
44,POCO M2,Out of,512.0,5000.0,48,16,16.94,6.0,4.4,349.0,15999.0
45,POCO M3,Cool Blue,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,12999.0
46,POCO F3,Predator Black,128.0,5065.0,64,16,16.94,6.0,4.3,4658.0,28999.0
47,POCO M3,Yellow,128.0,5000.0,48,8,16.51,6.0,4.2,51734.0,16499.0
48,POCO F3,Predator Black,128.0,5065.0,64,16,16.94,8.0,4.3,14744.0,28999.0
49,POCO M3,Power Black,64.0,5000.0,48,8,16.51,4.0,4.3,62329.0,14499.0
50,POCO M3,Power Black,128.0,5000.0,48,8,16.51,6.0,4.2,51734.0,16499.0
51,POCO M3,Yellow,64.0,5000.0,48,8,16.51,4.0,4.3,62329.0,14499.0
52,POCO M3,Cool Blue,64.0,5000.0,48,8,16.51,4.0,4.3,62329.0,14499.0
53,POCO M2,Green and,512.0,5000.0,48,16,16.94,6.0,4.4,349.0,14999.0
54,POCO C3,Arctic Blue,512.0,5000.0,13,5,16.59,4.0,4.3,304.0,9499.0
55,POCO F4,Nebula Green,128.0,4500.0,64,20,16.94,6.0,4.3,10725.0,27999.0
56,POCO M3,Cool Blue,128.0,5000.0,48,8,16.51,6.0,4.2,51734.0,16499.0
57,POCO F4,Nebula Green,256.0,4500.0,64,20,16.94,12.0,4.4,2180.0,33999.0
58,POCO F4,Night Black,128.0,4500.0,64,20,16.94,8.0,4.3,3885.0,29999.0
59,POCO C3,Matte Black,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8490.0
60,POCO X3,Golden Bronze,128.0,5160.0,48,20,16.94,6.0,4.4,135.0,19999.0
61,POCO X2,Matrix Purple,512.0,4500.0,64,2,16.94,8.0,4.5,60832.0,20999.0
62,POCO F3,Gunmetal Silver,128.0,5065.0,64,16,16.94,8.0,4.3,14744.0,28999.0
63,POCO C3,Arctic Blue,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8349.0
64,POCO F1,Steel Blue,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,24999.0
65,POCO F1,Rosso Red,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,24999.0
66,POCO M3,Yellow,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,14490.0
67,POCO F3,Gunmetal Silver,128.0,5065.0,64,16,16.94,6.0,4.3,4658.0,28999.0
68,POCO M2,Mostly Blue,512.0,5000.0,13,8,16.59,4.0,4.3,66363.0,10989.0
69,POCO F1,Armoured Edition,256.0,4000.0,12,20,15.7,8.0,4.5,28194.0,30999.0
70,POCO X2,Atlantis Blue,512.0,4500.0,64,2,16.94,6.0,4.5,270.0,15999.0
71,POCO X3,Golden Bronze,128.0,5160.0,48,20,16.94,8.0,4.3,55611.0,21999.0
72,POCO M3,Power Black,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,12999.0
73,POCO X3,Shadow Gray,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
74,POCO X3,Shadow Gray,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
75,POCO M2,Slate Blue,512.0,5000.0,13,8,16.59,6.0,4.4,406.0,11499.0
76,POCO C3,Matte Black,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8490.0
77,POCO X3,Cobalt Blue,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
78,POCO X3,Steel Blue,128.0,5160.0,48,20,16.94,8.0,4.3,55611.0,21999.0
79,POCO M3,Cool Blue,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,12999.0
80,POCO F3,Predator Black,256.0,5065.0,64,16,16.94,8.0,4.3,14744.0,30999.0
81,POCO F3,Gunmetal Silver,256.0,5065.0,64,16,16.94,8.0,4.3,14744.0,30999.0
