,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,realme narzo 50i,Mint Green,32.0,5000.0,8,5,16.51,4.0,2.0,Android 11,4.0,27776.0,7499.0
1,realme narzo 50i,Mint Green,64.0,5000.0,8,5,16.51,4.0,4.0,Android 11,4.0,27776.0,8999.0
2,realme narzo 50,Speed Black,64.0,5000.0,50,16,16.5,4.0,4.0,Android 11,4.2,10853.0,12999.0
3,realme narzo 50,Speed Black,128.0,5000.0,50,16,16.5,4.0,6.0,Android 11,4.2,10853.0,15499.0
4,realme Narzo 50,Hyper Black,128.0,5000.0,48,16,16.3,5.0,6.0,Android 12,4.1,2479.0,21990.0
5,realme narzo 50A,Oxygen Blue,128.0,6000.0,50,8,16.51,4.0,4.0,Android 11,4.2,40352.0,12499.0
6,realme narzo 50A,Flash Blue,64.0,5000.0,50,8,16.7,4.0,4.0,Android 11,4.0,5677.0,11499.0
7,realme narzo 50A,Oxygen Blue,64.0,5000.0,50,8,16.51,4.0,4.0,Android 11,4.2,40352.0,11499.0
8,realme narzo 50i,Dark Blue,32.0,5000.0,8,5,16.5,4.0,3.0,Android 11,4.1,1198.0,7999.0
9,realme narzo 50,Speed Blue,64.0,5000.0,50,16,16.5,4.0,4.0,Android 11,4.2,10853.0,12999.0
10,Realme C35,Glowing Green,64.0,5000.0,50,8,16.76,4.0,4.0,Android 11,3.9,548.0,12130.0
11,realme narzo 50i,Carbon Black,64.0,5000.0,8,5,16.51,4.0,4.0,Android 11,4.0,27776.0,8999.0
12,realme narzo 50A,Flash Blue,64.0,5000.0,50,8,16.7,4.0,4.0,Android 11,4.0,5677.0,11499.0
13,realme narzo 50,Hyper Blue,128.0,5000.0,48,8,16.7,5.0,4.0,Android 12,4.2,1959.0,16990.0
14,realme narzo 50i,Carbon Black,32.0,5000.0,8,5,16.51,4.0,2.0,Android 11,4.0,27776.0,7499.0
15,realme C11 2021,Cool Blue,64.0,5000.0,8,5,16.56,4.0,4.0,Android 11,4.1,12095.0,8999.0
16,Realme 9 Pro,Midnight Black,128.0,5000.0,64,16,16.76,5.0,6.0,Android 12,3.9,276.0,20990.0
17,Realme 9i,Prism Blue,128.0,5000.0,50,16,16.76,4.0,4.0,Android 11,4.2,311.0,14049.0
18,realme 9 5G,Stargaze White,128.0,5000.0,48,16,16.51,5.0,6.0,Android 11,3.8,59.0,16525.0
19,realme narzo 50A,Oxygen Green,128.0,5000.0,50,8,16.51,4.0,4.0,Android 11,4.2,40352.0,12499.0
20,Realme C35,Glowing Green,128.0,5000.0,50,8,16.76,4.0,4.0,Android 11,3.9,548.0,12599.0
21,Realme 9i 5G,Metallica Gold,128.0,5000.0,50,8,16.76,5.0,6.0,Android 12,4.1,508.0,16799.0
22,Realme C33,Aqua Blue,64.0,5000.0,50,5,16.51,4.0,4.0,Android 12,3.0,23.0,10880.0
23,Realme C25Y,Metal Grey,128.0,5000.0,50,8,16.51,4.0,4.0,Android 11,3.8,278.0,11425.0
24,realme 8i,Space Black,64.0,5000.0,50,16,16.76,4.0,4.0,Android 11,4.2,702.0,12780.0
25,realme narzo 50A,Oxygen Green,64.0,5000.0,50,8,16.51,4.0,4.0,Android 11,4.2,40352.0,11499.0
26,realme C11 2021,Cool Grey,64.0,5000.0,8,5,16.56,4.0,4.0,Android 11,4.1,12095.0,8850.0
27,Realme C35,Glowing Black,64.0,5000.0,50,8,16.76,4.0,4.0,Android 11,3.9,548.0,11420.0
28,Realme C30,Denim Black,32.0,5000.0,8,5,16.51,4.0,3.0,Android ,3.3,2.0,7499.0
29,Realme C33,Aqua Blue,64.0,5000.0,50,5,16.51,4.0,4.0,Android 12,3.0,23.0,10880.0
30,realme Narzo 50,Hyper Blue,128.0,5000.0,48,16,16.3,4.0,6.0,Android 12,4.1,2479.0,21990.0
31,realme narzo 30,Racing Silver,128.0,5000.0,48,16,16.51,5.0,6.0,Android 11,4.2,3032.0,16999.0
32,Realme C25Y,Glacier Blue,64.0,5000.0,50,8,16.51,4.0,4.0,Android 11,3.9,245.0,9999.0
33,Realme C30s,Stripe Black,64.0,5000.0,8,5,16.51,4.0,4.0,Android 12,5.0,3.0,8579.0
34,Realme C30,Bamboo Green,32.0,5000.0,8,5,16.51,4.0,2.0,Android 11,3.7,28.0,6699.0
35,realme 9 5G,Supersonic Black,128.0,5000.0,48,16,16.51,5.0,6.0,Android 11,4.2,311.0,16798.0
36,realme C11,Cool Blue,32.0,5000.0,8,5,16.51,4.0,2.0,Android ,4.1,12095.0,6980.0
37,Realme 9 5G,Azure Glow,128.0,5000.0,48,16,16.76,5.0,8.0,Android 11,3.6,41.0,22999.0
38,realme 8s 5G,Universe Purple,128.0,5000.0,64,16,16.51,5.0,6.0,Android 11,4.1,4598.0,17989.0
