,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,realme C30s,Stripe Blue,32.0,5000.0,8,5,16.51,2.0,4.4,871.0,7499.0
1,realme C35,Glowing Black,128.0,5000.0,50,8,16.76,4.0,4.4,147.0,12999.0
2,realme C35,Glowing Green,64.0,5000.0,50,8,16.76,4.0,4.4,147.0,11999.0
3,realme 9i,Rocking Black,128.0,5000.0,50,8,16.76,6.0,4.3,3611.0,16999.0
4,realme Narzo,Speed Blue,256.0,5000.0,50,16,16.76,6.0,4.4,5877.0,15499.0
5,realme Narzo,Speed Blue,256.0,5000.0,50,16,16.76,4.0,4.5,14026.0,12999.0
6,realme C35,Glowing Black,64.0,5000.0,50,8,16.76,4.0,4.4,147.0,11999.0
7,realme Narzo,Racing Silver,128.0,5000.0,48,16,16.51,6.0,4.3,83178.0,16999.0
8,realme Narzo,Speed Black,256.0,5000.0,50,16,16.76,6.0,4.4,5877.0,15499.0
9,realme C33,Night Sea,64.0,5000.0,50,5,16.51,4.0,4.5,40321.0,9999.0
10,realme GT,Steel Black,128.0,5000.0,50,32,17.02,8.0,4.2,2490.0,49999.0
11,realme C33,Aqua Blue,64.0,5000.0,50,5,16.51,4.0,4.5,40321.0,9999.0
12,realme C33,Sandy Gold,64.0,5000.0,50,5,16.51,4.0,4.5,40321.0,9999.0
13,realme 9,Meteor Black,256.0,5000.0,108,16,16.26,8.0,4.4,15580.0,17999.0
14,realme 9,Stargaze White,256.0,5000.0,108,16,16.26,8.0,4.4,15580.0,17999.0
15,realme 9,Sunburst Gold,256.0,5000.0,108,16,16.26,8.0,4.4,15580.0,17999.0
16,realme C30s,Stripe Black,32.0,5000.0,8,5,16.51,2.0,4.4,871.0,7499.0
17,realme C33,Aqua Blue,32.0,5000.0,50,5,16.51,3.0,4.5,13450.0,8999.0
18,realme 9i,Soulful Blue,64.0,5000.0,50,8,16.76,4.0,4.5,32349.0,14999.0
19,realme 9i,Soulful Blue,64.0,5000.0,50,8,16.76,4.0,4.5,32349.0,14999.0
20,realme 9i,Metallica Gold,64.0,5000.0,50,8,16.76,4.0,4.5,32349.0,14999.0
21,realme 9i,Rocking Black,64.0,5000.0,50,8,16.76,4.0,4.5,32349.0,14999.0
22,realme 9,Meteor Black,256.0,5000.0,108,16,16.26,6.0,4.4,46338.0,16999.0
23,realme C30,Bamboo Green,32.0,5000.0,8,5,16.51,3.0,4.1,26797.0,7999.0
24,realme C30,Denim Black,32.0,5000.0,8,5,16.51,3.0,4.1,26797.0,7999.0
25,realme C35,Glowing Black,128.0,5000.0,50,8,16.76,6.0,4.2,10294.0,13999.0
26,realme C30,Lake Blue,32.0,5000.0,8,5,16.51,2.0,4.3,54354.0,6999.0
27,realme C30,Denim Black,32.0,5000.0,8,5,16.51,2.0,4.3,54354.0,6999.0
28,realme C30,Bamboo Green,32.0,5000.0,8,5,16.51,2.0,4.3,54354.0,6999.0
29,realme C31,Dark Green,64.0,5000.0,13,5,16.56,4.0,4.4,49314.0,9999.0
30,realme C31,Light Silver,64.0,5000.0,13,5,16.56,4.0,4.4,49314.0,9999.0
31,realme 9i,Metallica Gold,128.0,5000.0,50,8,16.76,6.0,4.3,3611.0,16999.0
32,realme 9,Supersonic Blue,128.0,5000.0,48,16,16.51,6.0,4.4,39584.0,17499.0
33,realme C31,Dark Green,32.0,5000.0,13,5,16.56,3.0,4.5,43647.0,9299.0
34,realme C31,Light Silver,32.0,5000.0,13,5,16.56,3.0,4.5,43647.0,9299.0
35,realme 9,Meteor Black,64.0,5000.0,48,16,16.51,4.0,4.5,34766.0,15999.0
36,realme 9,Stargaze White,128.0,5000.0,48,16,16.51,6.0,4.4,39584.0,17499.0
