,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,Redmi 11 Prime,Playful Green,64,5000.0,50,8,16.71,4.0,4.0,MIUI 13,4.3,86.0,13999.0
1,Redmi Note 11T,Matte Black,128,5000.0,50,16,16.71,5.0,8.0,Android 11,4.1,27690.0,19999.0
2,Redmi 9A Sport,Carbon Black,32,5000.0,13,5,16.58,4.0,2.0,MIUI 12,4.2,304361.0,6999.0
3,Redmi 9A Sport,Coral Green,32,5000.0,13,5,16.58,4.0,2.0,MIUI 12,4.2,304361.0,6999.0
4,Redmi 9 Activ,Carbon Black,64,5000.0,13,5,16.58,4.0,4.0,MIUI 12,4.2,304361.0,7999.0
5,Redmi 10A ,Charcoal Black,64,5000.0,13,5,15.58,4.0,4.0,MIUI 12,3.9,8999.0,8999.0
6,Redmi A1 ,Light Blue,32,5000.0,8,5,16.56,4.0,2.0,Android Go,4.0,3898.0,6499.0
7,Redmi 10 Prime,Astral White,64,6000.0,50,8,16.5,4.0,4.0,MIUI 12,4.1,59699.0,12999.0
8,Redmi Note 11T,Stardust White,128,5000.0,50,16,16.71,5.0,6.0,Android 11,4.1,27690.0,16999.0
9,Redmi A1 ,Light Green,32,5000.0,8,5,16.56,4.0,2.0,Android Go,4.0,3898.0,6499.0
10,Redmi Note 11,Horizon Blue,64,5000.0,50,13,16.33,4.0,4.0,MIUI 13,4.1,45285.0,12999.0
11,Redmi Note 10S,Deep Sea,64,5000.0,64,13,16.33,4.0,6.0,Android 11,4.2,214826.0,14999.0
12,Redmi 10A ,Sea Blue,64,5000.0,13,5,15.58,4.0,4.0,MIUI 12,3.9,8999.0,8499.0
13,Redmi 9A Sport,Carbon Black,32,5000.0,13,5,16.58,4.0,2.0,MIUI 12,4.2,304361.0,6999.0
14,Redmi 10A Sport,Sea Blue,8,5000.0,13,5,15.58,4.0,6.0,MIUI 12,3.7,481.0,10499.0
15,Redmi Note 11,Space Black,64,5000.0,50,13,16.33,4.0,4.0,MIUI 13,4.1,45285.0,12999.0
16,Redmi 11 Prime,Meadow Green,64,5000.0,50,8,16.71,5.0,4.0,MIUI 13,3.8,1077.0,13999.0
17,Redmi 10 Prime,Phantom Black,128,6000.0,50,8,16.5,4.0,6.0,MIUI 12,4.1,59699.0,12999.0
18,Redmi 10A ,Slate Grey,64,5000.0,13,5,15.58,4.0,4.0,MIUI 12,3.9,8999.0,8999.0
19,Redmi Note 11,Space Black,128,5000.0,50,13,16.33,4.0,6.0,MIUI 13,4.1,45285.0,14499.0
20,Redmi 11 Prime,Thunder Black,64,5000.0,50,8,16.71,5.0,4.0,MIUI 13,3.8,1077.0,13999.0
21,Redmi 10 Power,Power Black,128,6000.0,50,5,17.01,4.0,8.0,MIUI 13,4.1,278.0,12499.0
22,Redmi Note 11,Renewed,64,5000.0,50,13,16.33,4.0,4.0,MIUI 11,3.9,14.0,11999.0
23,Redmi Note 10,Glacial Blue,128,5020.0,108,16,16.9,4.0,6.0,Android,4.1,45333.0,17999.0
24,Redmi 11 Prime,Chrome Silver,64,5000.0,50,8,16.71,5.0,4.0,MIUI 13,3.8,1077.0,13999.0
25,Redmi Note 10,Dark Nebula,128,5020.0,108,16,16.9,4.0,6.0,Android,4.1,45333.0,17999.0
26,Redmi Note 11S,Space Black,128,5000.0,108,16,16.33,4.0,6.0,MIUI 13,4.1,4189.0,17499.0
27,Redmi Note 9,Interstellar Black,64,5020.0,48,16,16.9418,4.0,4.0,Android 10,4.3,130966.0,13880.0
28,Redmi Note 10,Vintage Bronze,128,5020.0,108,16,16.9,4.0,6.0,Android,4.1,45333.0,17999.0
29,Redmi 9 ,Sporty Orange,64,5000.0,13,5,16.58,4.0,4.0,Android 10,4.2,304361.0,10990.0
