,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,REDMI 9i,Metallic Blue,512.0,5000.0,13,5,16.59,4.0,4.3,183.0,7999.0
1,REDMI 10,Caribbean Green,64.0,6000.0,50,5,17.02,4.0,4.3,141.0,9999.0
2,REDMI 10,Pacific Blue,64.0,6000.0,50,5,17.02,4.0,4.3,141.0,9999.0
3,REDMI 10,Midnight Black,64.0,6000.0,50,5,17.02,4.0,4.3,141.0,9999.0
4,REDMI 9i,Coral Green,512.0,5000.0,13,5,16.59,4.0,4.3,183.0,7999.0
5,REDMI 10,Phantom Black,512.0,6000.0,50,8,16.51,6.0,4.1,45.0,12999.0
6,REDMI 9,Coral Green,512.0,5000.0,13,5,16.59,4.0,4.2,7087.0,8483.0
7,REDMI 9,Coral Green,512.0,5000.0,13,5,16.59,4.0,4.2,7087.0,8483.0
8,REDMI 9i,Carbon Black,512.0,5000.0,13,5,16.59,4.0,4.3,183.0,7999.0
9,REDMI 9,Metallic Purple,512.0,5000.0,13,5,16.59,4.0,4.2,7087.0,8449.0
10,REDMI 9,Carbon Black,512.0,5000.0,13,5,16.59,4.0,4.2,7087.0,8114.0
11,REDMI 10,Midnight Black,128.0,6000.0,50,5,17.02,6.0,4.2,18768.0,11999.0
12,Redmi 9A,Metallic Blue,512.0,5000.0,13,5,16.59,2.0,4.2,22510.0,6879.0
13,Redmi 9A,Carbon Black,512.0,5000.0,13,5,16.59,2.0,4.2,22510.0,6895.0
14,REDMI 10,Astral White,512.0,6000.0,50,8,16.51,6.0,4.2,7308.0,12999.0
15,REDMI Note,Vintage Bronze,512.0,5020.0,64,16,16.94,6.0,4.3,40233.0,15999.0
16,REDMI 10,Pacific Blue,128.0,6000.0,50,5,17.02,6.0,4.2,18768.0,11999.0
17,REDMI Note,Thunder Purple,512.0,5000.0,64,13,16.33,6.0,4.3,19967.0,12999.0
18,REDMI Note,Bifrost Blue,512.0,5000.0,64,13,16.33,6.0,4.3,19967.0,12999.0
19,REDMI 10,Caribbean Green,128.0,6000.0,50,5,17.02,6.0,4.2,18768.0,11999.0
20,REDMI Note,Space Black,512.0,5000.0,64,13,16.33,6.0,4.3,19967.0,12999.0
21,REDMI 10A,Charcoal Black,64.0,5000.0,13,13,16.59,4.0,4.2,3940.0,8688.0
22,REDMI Note,Cosmic White,512.0,5000.0,64,13,16.33,6.0,4.3,19967.0,12999.0
23,REDMI 9i,Midnight Black,512.0,5000.0,13,5,16.59,4.0,4.3,573.0,8999.0
24,REDMI 9,Carbon Black,512.0,5000.0,13,5,16.59,6.0,4.2,3961.0,10499.0
25,REDMI 10A,Slate grey,64.0,5000.0,13,13,16.59,4.0,4.1,5167.0,8663.0
26,REDMI 10A,Charcoal Black,32.0,5000.0,13,13,16.59,3.0,4.1,1139.0,7789.0
27,REDMI 10A,Sea Blue,64.0,5000.0,13,13,16.59,4.0,4.2,3940.0,8603.0
28,REDMI Note,Vintage Bronze,512.0,5020.0,108,16,16.94,6.0,4.3,15462.0,17999.0
29,REDMI Note,Dark Nebula,512.0,5020.0,108,16,16.94,6.0,4.3,15462.0,17999.0
30,REDMI 9,Carbon Black,64.0,5000.0,13,13,16.59,4.0,4.2,7087.0,8690.0
31,REDMI 9,Metallic Purple,512.0,5000.0,13,5,16.59,6.0,4.2,3961.0,10499.0
32,REDMI 10A,Charcoal Black,64.0,5000.0,13,13,16.59,4.0,4.2,3940.0,8524.0
33,REDMI 9,Coral Green,512.0,5000.0,13,5,16.59,6.0,4.2,3961.0,10499.0
34,REDMI 10,Bifrost Blue,512.0,6000.0,50,8,16.51,4.0,4.2,11186.0,12499.0
