,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,Samsung Galaxy A23,Blue,128.0,5000.0,50,50,16.7,2.0,6.0,Android 12,4.0,575.0,18499.0
1,Samsung Galaxy M32,Blue,128.0,6000.0,64,2,16.2,4.0,6.0,Android 12,4.1,53298.0,15499.0
2,Samsung Galaxy M32,Black,128.0,6000.0,64,2,16.2,4.0,6.0,Android 12,4.1,53298.0,15499.0
3,Samsung Galaxy M32,Blue,64.0,6000.0,64,2,16.2,4.0,4.0,Android 12,4.1,53298.0,13499.0
4,Samsung Galaxy M32,Black,64.0,6000.0,64,2,16.2,4.0,4.0,Android 12,4.1,53298.0,13499.0
5,Samsung Galaxy M33,Mystique Green,128.0,6000.0,50,8,16.7,5.0,6.0,Android 12,4.1,18532.0,18999.0
6,Samsung Galaxy M33,Emerald Brown,128.0,6000.0,50,8,16.7,5.0,6.0,Android 12,4.1,18532.0,18999.0
7,Samsung Galaxy M33,Ocean Blue,128.0,6000.0,50,8,16.7,5.0,8.0,Android 12,4.1,18532.0,20499.0
8,Samsung Galaxy M33,Mystique Green,128.0,6000.0,50,8,16.7,5.0,8.0,Android 12,4.1,18532.0,20499.0
9,Samsung Galaxy M53,Mystique Green,128.0,5000.0,108,108,16.7,5.0,6.0,Android 12,3.9,7303.0,26499.0
10,Samsung Galaxy M53,Ocean Blue,128.0,5000.0,108,108,17.0,5.0,6.0,Android 12,3.9,7303.0,26499.0
11,Samsung Galaxy A53,Black,128.0,5000.0,64,64,17.0,5.0,6.0,Android 12,3.9,49.0,31999.0
12,Samsung Galaxy A53,Orange,128.0,5000.0,64,64,16.5,5.0,6.0,Android 12,3.9,49.0,31999.0
13,Samsung Galaxy S20,Lavender,128.0,4500.0,12,12,16.5,5.0,8.0,Android 11,4.2,25154.0,31079.0
14,Samsung Galaxy M13,Brown,64.0,6000.0,50,8,16.5,4.0,4.0,Android 12,4.0,12770.0,11999.0
15,Samsung Galaxy M13,Blue,64.0,6000.0,50,8,16.7,4.0,4.0,Android 12,4.0,12770.0,11999.0
16,Samsung Galaxy M13,Aqua Green,128.0,6000.0,50,8,16.7,4.0,6.0,Android 12,4.0,12770.0,13999.0
17,Samsung Galaxy M13,Aqua Green,64.0,6000.0,50,8,16.7,4.0,4.0,Android 12,4.0,12770.0,11999.0
18,Samsung Galaxy M12,Blue,64.0,6000.0,48,8,16.7,4.0,4.0,Android 11,4.1,168160.0,11999.0
19,Samsung Galaxy A23,Blue,128.0,6000.0,50,50,16.5,2.0,6.0,Android 12,4.0,575.0,18499.0
20,Samsung Galaxy A23,Black,128.0,5000.0,50,50,16.5,2.0,6.0,Android 12,4.0,575.0,18499.0
21,Samsung Galaxy A23,Orange,128.0,5000.0,50,50,16.7,2.0,6.0,Android 12,4.0,575.0,17490.0
22,Samsung Galaxy A23,Peach,128.0,5000.0,50,50,16.5,2.0,6.0,Android 12,4.0,575.0,18499.0
23,Samsung Galaxy A23,Blue,128.0,5000.0,50,50,16.6,2.0,8.0,Android 12,4.0,575.0,16999.0
24,Samsung Galaxy A23,Black,128.0,5000.0,50,50,17.0,2.0,8.0,Android 12,4.0,575.0,19999.0
25,Samsung Galaxy S20,Cloud Mint,128.0,4500.0,12,12,16.7,5.0,8.0,Android 11,4.2,25154.0,37990.0
26,Samsung Galaxy S20,Cloud Navy,128.0,4500.0,12,12,17.0,5.0,8.0,Android 11,4.2,25154.0,31079.0
27,Samsung Galaxy S20,Cloud Lavender,128.0,4500.0,12,12,16.5,5.0,8.0,Android 11,4.2,25154.0,31079.0
28,Samsung Galaxy M33,Emerald Brown,128.0,6000.0,50,8,16.2,5.0,6.0,Android 12,4.1,18532.0,18999.0
29,Samsung Galaxy M53,Emerald Brown,128.0,5000.0,108,108,16.4,5.0,6.0,Android,3.9,7303.0,26499.0
30,Samsung Galaxy M53,Emerald Brown,128.0,5000.0,108,108,16.5,5.0,8.0,Android 12,3.9,7303.0,28499.0
31,Samsung Galaxy M53,Ocean Blue,128.0,5000.0,108,108,16.6,5.0,8.0,Android 12,3.9,7303.0,28499.0
32,Samsung Galaxy M53,Mystique Green,128.0,5000.0,108,108,16.7,5.0,8.0,Android 12,3.9,7303.0,28499.0
33,Samsung Galaxy A32,Black,128.0,5000.0,64,5,17.0,4.0,6.0,Android 11,4.0,1450.0,18600.0
34,Samsung Galaxy A32,Blue,128.0,5000.0,64,5,17.0,4.0,6.0,Android 11,4.0,1450.0,18989.0
35,Samsung Galaxy A53,Black,128.0,5000.0,64,64,17.0,5.0,8.0,Android 12,4.0,118.0,32990.0
36,Samsung Galaxy A53,Orange,128.0,5000.0,64,64,16.5,5.0,8.0,Android 12,4.0,118.0,32949.0
37,Samsung Galaxy A53,Light Blue,128.0,5000.0,64,64,16.2,5.0,8.0,Android 12,4.0,118.0,31999.0
38,Samsung Galaxy A53,Light Blue,128.0,5000.0,64,64,16.6,5.0,6.0,Android 12,4.0,118.0,30999.0
