,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,SAMSUNG Galaxy,Denim Blue,64.0,6000.0,48,13,16.26,4.0,4.3,97409.0,11999.0
1,SAMSUNG Galaxy,Sea Green,512.0,6000.0,48,8,16.55,4.0,4.3,295.0,11499.0
2,SAMSUNG GALAXY,Midnight Blue,128.0,6000.0,50,50,16.76,6.0,4.0,209.0,13690.0
3,SAMSUNG Galaxy,Matte Aqua,128.0,5000.0,64,8,16.76,8.0,4.1,5228.0,22999.0
4,SAMSUNG Galaxy,Deep Ocean,128.0,6000.0,50,50,16.76,6.0,4.2,6001.0,16373.0
5,SAMSUNG Galaxy,Lavender,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
6,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.74,6.0,4.2,6001.0,16959.0
7,SAMSUNG Galaxy,Nightsky Green,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
8,SAMSUNG Galaxy,Sunrise Copper,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
9,SAMSUNG Galaxy,Waterfall Blue,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
10,SAMSUNG Galaxy,Copper Blush,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
11,SAMSUNG Galaxy,Forest Green,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
12,SAMSUNG Galaxy,Aqua Blue,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
13,SAMSUNG Galaxy,Denim Blue,128.0,6000.0,48,13,16.26,6.0,4.3,61765.0,13999.0
14,SAMSUNG Galaxy,Denim Black,64.0,6000.0,48,13,16.26,4.0,4.3,97409.0,11999.0
15,SAMSUNG Galaxy,Denim Black,128.0,6000.0,48,13,16.26,6.0,4.3,61765.0,13999.0
16,SAMSUNG Galaxy,Blue,128.0,5000.0,50,8,16.76,8.0,4.3,367.0,20999.0
17,SAMSUNG Galaxy,White,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
18,SAMSUNG Galaxy,Copper Blush,128.0,5000.0,50,8,16.76,4.0,4.2,29004.0,17499.0
19,SAMSUNG Galaxy,Olive,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
20,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.76,8.0,4.2,555.0,19449.0
21,SAMSUNG GALAXY,Stardust Brown,64.0,6000.0,50,50,16.76,4.0,4.2,977.0,10790.0
