,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
0,vivo T1,Starlight Black,128.0,5000.0,50,16,16.71,6.0,4.4,142.0,16990.0
1,vivo T1,Starry Sky,128.0,5000.0,50,16,16.36,4.0,4.4,63308.0,14499.0
2,vivo T1,Midnight Galaxy,128.0,5000.0,50,16,16.36,4.0,4.4,63308.0,14499.0
3,vivo T1,Rainbow Fantasy,128.0,5000.0,50,16,16.71,4.0,4.3,52996.0,15990.0
4,vivo T1,Rainbow Fantasy,128.0,5000.0,50,16,16.71,6.0,4.4,142.0,16990.0
5,vivo T1,Starry Sky,128.0,5000.0,50,16,16.36,6.0,4.4,36292.0,15999.0
6,vivo T1,Ice Dawn,128.0,5000.0,50,16,16.36,6.0,4.4,36292.0,15999.0
7,vivo T1,Starlight Black,128.0,5000.0,50,16,16.71,4.0,4.3,52996.0,15990.0
8,vivo T1,Rainbow Fantasy,128.0,5000.0,50,16,16.71,8.0,4.3,13169.0,19990.0
9,vivo T1,Starlight Black,128.0,5000.0,50,16,16.71,8.0,4.3,13169.0,19990.0
10,vivo T1,Silky White,128.0,5000.0,50,16,16.71,4.0,4.3,52996.0,15990.0
11,vivo T1X,Space Blue,64.0,5000.0,50,8,16.71,4.0,4.5,54626.0,11999.0
12,vivo T1X,Gravity Black,64.0,5000.0,50,8,16.71,4.0,4.5,54626.0,11999.0
13,vivo T1,Midnight Galaxy,128.0,5000.0,50,16,16.36,8.0,4.3,4383.0,17999.0
14,vivo T1,Midnight Galaxy,128.0,5000.0,50,16,16.36,6.0,4.4,36292.0,15999.0
15,vivo T1X,Space Blue,128.0,5000.0,50,8,16.71,4.0,4.5,54626.0,12999.0
16,vivo T1X,Space Blue,128.0,5000.0,50,8,16.71,6.0,4.4,2695.0,14999.0
17,vivo T1,Starry Sky,128.0,5000.0,50,16,16.36,8.0,4.3,4383.0,17999.0
18,vivo T1X,Gravity Black,128.0,5000.0,50,8,16.71,6.0,4.4,2695.0,14999.0
19,vivo Y16,Drizzling Gold,64.0,5000.0,13,5,16.54,3.0,4.2,243.0,10999.0
20,vivo T1,Turbo Cyan,128.0,4700.0,64,16,16.36,8.0,4.3,12861.0,24999.0
21,vivo Y21G,Midnight Blue,64.0,5000.0,13,8,16.54,4.0,4.3,1798.0,13499.0
22,vivo V23e,Midnight Blue,128.0,4050.0,50,44,16.36,8.0,4.2,1557.0,23869.0
23,vivo Y01,Elegant Black,32.0,5000.0,8,5,16.54,2.0,4.2,881.0,7999.0
24,vivo Y01,Sapphire Blue,32.0,5000.0,8,5,16.54,2.0,4.2,881.0,7999.0
25,vivo Y22,Starlit Blue,64.0,5000.0,50,8,16.64,4.0,4.3,204.0,14499.0
26,vivo Y16,Steller Black,64.0,5000.0,13,5,16.54,4.0,4.4,312.0,12999.0
27,vivo Y16,Drizzling Gold,32.0,5000.0,13,5,16.54,3.0,4.2,243.0,9999.0
28,vivo Y21G,Diamond Glow,64.0,5000.0,13,8,16.54,4.0,4.3,1798.0,13499.0
29,vivo V25,Surfing Blue,128.0,4500.0,64,50,16.36,8.0,4.3,4726.0,27999.0
30,vivo V25,Elegant Black,128.0,4500.0,64,50,16.36,8.0,4.3,4726.0,27999.0
31,vivo Y16,Steller Black,32.0,5000.0,13,5,16.54,3.0,4.2,243.0,10199.0
32,vivo Y15s,Mystic Blue,32.0,5000.0,13,8,16.54,3.0,4.3,3124.0,9499.0
33,vivo T1,Turbo Black,128.0,4700.0,64,16,16.36,8.0,4.3,12907.0,24999.0
34,vivo T1,Turbo Black,128.0,4700.0,64,16,16.36,6.0,4.3,6588.0,28990.0
35,vivo V25,Surfing Blue,256.0,4500.0,64,50,16.36,12.0,4.2,918.0,31999.0
36,vivo Y22,Metaverse Green,64.0,5000.0,50,8,16.64,4.0,4.3,204.0,14499.0
37,vivo Y53s,Deep Sea,128.0,5000.0,64,16,16.71,8.0,4.3,17755.0,15490.0
38,vivo Y21T,Midnight Blue,128.0,5000.0,50,8,16.71,4.0,4.3,1449.0,15499.0
39,vivo Y15s,Wave Green,32.0,5000.0,13,8,16.54,3.0,4.3,3124.0,9499.0
40,vivo Y73,Roman Black,128.0,4000.0,64,16,16.36,8.0,4.4,9865.0,18990.0
41,vivo Y22,Metaverse Green,128.0,5000.0,50,8,16.64,6.0,4.2,162.0,16499.0
42,vivo Y33s,Mirror Black,128.0,5000.0,50,16,16.71,8.0,4.3,12012.0,17293.0
43,vivo y15s,MYSTIC BLUE,32.0,5000.0,13,13,16.54,3.0,4.3,3124.0,9899.0
44,vivo Y22,Starlit Blue,128.0,5000.0,50,8,16.64,6.0,4.2,162.0,16499.0
45,vivo Y21T,Pearl White,128.0,5000.0,50,8,16.71,4.0,4.3,1449.0,15499.0
46,vivo Y35,Dawn Gold,128.0,5000.0,50,16,16.71,8.0,4.4,754.0,18489.0
47,vivo V23e,Sunshine Gold,128.0,4050.0,50,44,16.36,8.0,4.2,1557.0,22990.0
48,vivo Y21,Diamond Glow,64.0,5000.0,13,8,16.54,4.0,4.3,14188.0,13499.0
49,vivo Y12s,Glacier Blue,32.0,5000.0,13,8,16.54,3.0,4.3,16057.0,13990.0
50,vivo Y15c,Mystic Blue,32.0,5000.0,13,8,16.54,3.0,4.1,864.0,9833.0
51,vivo Y15c,Wave Green,32.0,5000.0,13,8,16.54,3.0,4.1,864.0,9951.0
52,vivo Y75,Dancing waves,128.0,4050.0,50,44,16.36,8.0,4.2,1203.0,20999.0
53,vivo V25,Sailing Blue,128.0,4830.0,64,32,16.66,8.0,4.3,4929.0,35999.0
54,vivo Y20G,Obsidian Black,64.0,5000.0,13,8,16.54,4.0,4.3,6135.0,13990.0
55,vivo Y33s,Midday Dream,128.0,5000.0,50,16,16.71,8.0,4.3,12012.0,18990.0
56,vivo Y21E,Diamond Glow,64.0,5000.0,13,13,16.54,3.0,4.3,236.0,12250.0
57,vivo V23,Stardust Black,256.0,4200.0,64,8,16.36,12.0,4.3,2866.0,34990.0
58,vivo X80,Cosmic Black,256.0,4700.0,50,32,17.22,12.0,4.4,640.0,79999.0
59,vivo Y20,Obsidian Black,64.0,5000.0,13,8,16.54,6.0,4.4,4330.0,16999.0
60,vivo Y73,Roman Black,128.0,4000.0,64,16,16.36,8.0,4.4,9865.0,18990.0
61,vivo X80,Urban Blue,128.0,4500.0,50,32,17.22,8.0,4.5,585.0,54999.0
62,vivo V21,Sunset Dazzle,128.0,4000.0,64,44,16.36,8.0,4.3,17001.0,27990.0
63,vivo X80,Cosmic Black,128.0,4500.0,50,32,17.22,8.0,4.5,585.0,54999.0
64,vivo X80,Cosmic Black,256.0,4500.0,50,32,17.22,12.0,4.5,339.0,59999.0
65,vivo V21,Dusk Blue,128.0,4000.0,64,44,16.36,8.0,4.3,17001.0,27990.0
66,vivo V23,Sunshine Gold,128.0,4200.0,64,8,16.36,8.0,4.4,25349.0,29990.0
67,vivo Y15c,Wave Green,64.0,5000.0,13,8,16.54,3.0,4.1,864.0,10990.0
68,vivo Y35,Agate Black,128.0,5000.0,50,16,16.71,8.0,4.4,754.0,18499.0
69,vivo V20,Midnight Jazz,256.0,4000.0,64,44,16.36,8.0,4.4,6053.0,30990.0
70,vivo V9,Black,32.0,3260.0,16,16,16.0,4.0,4.4,26961.0,19990.0
71,vivo V25,Pure Black,256.0,4830.0,64,32,16.66,12.0,4.3,911.0,45499.0
72,vivo Z1Pro,Mirror Black,64.0,5000.0,16,32,16.59,4.0,4.5,359.0,15990.0
73,vivo V15,Topaz Blue,128.0,3700.0,48,32,16.23,6.0,4.5,31214.0,32990.0
74,vivo V7,Gold,64.0,3225.0,16,24,15.21,4.0,4.4,17524.0,22221.0
75,vivo Y21E,Midnight Blue,64.0,5000.0,13,13,16.54,3.0,4.3,236.0,13490.0
76,vivo Y93,Nebula Purple,64.0,4030.0,13,8,15.8,3.0,4.4,9440.0,14990.0
77,vivo Y12G,Glacier Blue,32.0,5000.0,13,8,16.54,3.0,4.3,4504.0,11874.0
78,vivo Y91,Starry Black,32.0,4030.0,13,8,15.8,3.0,4.4,15968.0,10990.0
79,vivo U10,Electric Blue,64.0,5000.0,13,8,16.13,3.0,4.4,44723.0,10999.0
80,vivo Y16,Steller Black,64.0,5000.0,13,5,16.54,3.0,4.2,243.0,10999.0
81,vivo Y95,Starry Black,64.0,4030.0,13,20,15.8,4.0,4.4,16694.0,18990.0
82,vivo U10,Thunder Black,32.0,5000.0,13,8,16.13,3.0,4.4,44723.0,10990.0
83,vivo V21e,Sunset Jazz,128.0,4000.0,64,32,16.36,8.0,4.3,7853.0,24990.0
84,vivo U10,Electric Blue,32.0,5000.0,13,8,16.13,3.0,4.4,44723.0,10990.0
85,vivo X80,Urban Blue,256.0,4500.0,50,32,17.22,12.0,4.5,339.0,59999.0
86,vivo V19,Piano Black,128.0,4500.0,48,8,16.36,8.0,4.4,13500.0,30990.0
87,vivo V25,Sailing Blue,256.0,4830.0,64,32,16.66,12.0,4.3,911.0,45000.0
88,vivo V23,Stardust Black,128.0,4300.0,108,8,16.66,8.0,4.3,3670.0,38990.0
89,vivo V15,Topaz Blue,128.0,3700.0,8,32,16.23,8.0,4.5,3055.0,34990.0
90,vivo X21,Black,128.0,3200.0,12,12,15.95,6.0,4.3,1893.0,36990.0
91,vivo V21,Neon Spark,128.0,4000.0,64,44,16.36,8.0,4.3,17001.0,27999.0
92,vivo S1,Skyline Blue,64.0,4500.0,16,32,16.21,6.0,4.4,2739.0,20990.0
93,vivo U10,Electric Blue,64.0,5000.0,13,8,16.13,4.0,4.4,5596.0,13990.0
